timestamp,eye_open,perclos,mar,head_tilt,head_nod,status
1769707874.1341655,9.72,0.0,0.23,1,0,WARNING
1769707874.179071,8.76,0.0,0.23,1,0,WARNING
1769707874.2257516,9.46,0.0,0.23,1,0,WARNING
1769707874.2431324,9.69,0.0,0.23,1,0,WARNING
1769707874.270783,9.63,0.0,0.22,1,0,WARNING
1769707874.3213358,9.19,0.0,0.23,1,0,WARNING
1769707874.3393056,9.1,0.0,0.23,1,0,WARNING
1769707874.3679335,9.11,0.0,0.23,1,0,WARNING
1769707874.416054,8.87,0.0,0.23,1,0,WARNING
1769707874.4345317,8.74,0.0,0.23,1,0,WARNING
1769707874.4874203,8.19,0.0,0.23,1,0,WARNING
1769707874.5321445,8.55,0.0,0.23,1,0,WARNING
1769707874.550091,8.41,0.0,0.23,1,0,WARNING
1769707874.5826306,8.55,0.0,0.23,1,0,WARNING
1769707874.628261,8.17,0.0,0.23,1,0,WARNING
1769707874.642606,8.03,0.0,0.23,1,0,WARNING
1769707874.6736345,7.25,0.0,0.23,1,0,WARNING
1769707874.7182908,9.11,0.0,0.23,1,0,WARNING
1769707874.7361653,8.47,0.0,0.23,1,0,WARNING
1769707874.7711465,8.24,0.0,0.23,1,0,WARNING
1769707874.8176482,8.54,0.0,0.22,1,0,WARNING
1769707874.8361275,8.63,0.0,0.23,1,0,WARNING
1769707874.8725598,8.6,0.0,0.23,1,0,WARNING
1769707874.930107,8.12,0.0,0.23,1,0,WARNING
1769707874.9445107,8.32,0.0,0.23,1,0,WARNING
1769707874.9814858,8.93,0.0,0.23,1,0,WARNING
1769707875.0366828,9.5,0.0,0.23,1,0,WARNING
1769707875.0428164,9.59,0.0,0.23,1,0,WARNING
1769707875.0763679,9.18,0.0,0.23,1,0,WARNING
1769707875.1242764,8.63,0.0,0.23,1,0,WARNING
1769707875.1388652,8.54,0.0,0.23,1,0,WARNING
1769707875.1756468,8.35,0.0,0.22,1,0,WARNING
1769707875.2234898,7.95,0.0,0.23,1,0,WARNING
1769707875.2411065,7.87,0.0,0.22,1,0,WARNING
1769707875.2636304,7.2,0.0,0.23,1,0,WARNING
1769707875.3147492,6.3,0.0,0.23,1,0,WARNING
1769707875.3399098,6.56,0.0,0.23,1,0,WARNING
1769707875.3764584,6.04,0.0,0.23,1,0,WARNING
1769707875.4244645,5.97,0.0,0.23,1,0,WARNING
1769707875.4429855,5.99,0.0,0.23,1,0,WARNING
1769707875.472896,4.04,0.0,0.23,1,0,WARNING
1769707875.5207274,3.29,0.0,0.23,1,0,WARNING
1769707875.5385377,2.82,0.02,0.23,1,0,DROWSY
1769707876.5606923,7.94,0.02,0.23,1,0,WARNING
1769707876.5781834,7.78,0.02,0.23,1,0,WARNING
1769707876.5919473,7.64,0.02,0.23,1,0,WARNING
1769707876.6106122,7.64,0.02,0.23,1,0,WARNING
1769707876.6286027,7.9,0.02,0.23,1,0,WARNING
1769707876.6582375,7.79,0.02,0.23,1,0,WARNING
1769707876.6785345,7.66,0.02,0.23,1,0,WARNING
1769707876.708607,7.64,0.02,0.23,1,0,WARNING
1769707876.777398,7.91,0.02,0.23,1,0,WARNING
1769707876.7975054,8.13,0.02,0.23,1,0,WARNING
1769707876.8204112,8.62,0.02,0.23,1,0,WARNING
1769707876.8386621,8.25,0.02,0.23,1,0,WARNING
1769707876.8676105,8.27,0.02,0.23,1,0,WARNING
1769707876.9173765,7.75,0.02,0.23,1,0,WARNING
1769707876.9677706,7.54,0.02,0.22,1,0,WARNING
1769707876.9797647,7.39,0.02,0.22,1,0,WARNING
1769707877.007625,7.33,0.02,0.23,1,0,WARNING
1769707877.057934,7.48,0.02,0.23,1,0,WARNING
1769707877.076925,7.47,0.02,0.23,1,0,WARNING
1769707877.107983,7.55,0.02,0.23,1,0,WARNING
1769707877.149788,8.04,0.02,0.23,1,0,WARNING
1769707877.167949,7.87,0.02,0.23,1,0,WARNING
1769707877.2163658,5.36,0.02,0.23,1,0,WARNING
1769707877.266861,6.08,0.02,0.23,1,0,WARNING
1769707877.285216,5.65,0.02,0.23,1,0,WARNING
1769707877.31306,6.93,0.02,0.23,1,0,WARNING
1769707877.3615363,7.41,0.02,0.23,1,0,WARNING
1769707877.378937,7.36,0.02,0.23,1,0,WARNING
1769707877.4152539,7.74,0.02,0.23,1,0,WARNING
1769707877.4573038,7.97,0.02,0.23,1,0,WARNING
1769707877.4890518,7.96,0.02,0.23,1,0,WARNING
1769707877.5094843,8.22,0.02,0.23,1,0,WARNING
1769707877.5545492,8.2,0.02,0.22,1,0,WARNING
